Symbol;Company Name
DPW.DE;Deutsche Post AG
HEN3.DE;Henkel AG & Co. KGaA
HEI.DE;HeidelbergCement AG
DB1.DE;Deutsche Börse Aktiengesellschaft
BAS.DE;BASF SE
SAP.DE;SAP SE
TKA.DE;ThyssenKrupp AG
RWE.DE;RWE Aktiengesellschaft
VNA.DE;Vonovia SE
BEI.DE;Beiersdorf Aktiengesellschaft
CON.DE;Continental Aktiengesellschaft
DTE.DE;Deutsche Telekom AG
EOAN.DE;E.ON SE
LHA.DE;Deutsche Lufthansa Aktiengesellschaft
ALV.DE;Allianz SE
IFX.DE;Infineon Technologies AG
FME.DE;Fresenius Medical Care AG & Co. KGAA
LIN.DE;Linde Aktiengesellschaft
BAYN.DE;Bayer Aktiengesellschaft
DAI.DE;Daimler AG
MUV2.DE;Münchener Rückversicherungs-Gesellschaft Aktiengesellschaft
FRE.DE;Fresenius SE & Co. KGaA
SIE.DE;Siemens Aktiengesellschaft
BMW.DE;Bayerische Motoren Werke Aktiengesellschaft
ADS.DE;Adidas AG
VOW3.DE;Volkswagen Aktiengesellschaft
DBK.DE;Deutsche Bank Aktiengesellschaft
CBK.DE;Commerzbank AG
MRK.DE;Merck Kommanditgesellschaft auf Aktien
PSM.DE;ProSiebenSat.1 Media SE
